"English ESL 2 Wake up smiling",1,2,10,22,1,2,15,2,428.3461,0
"French Disc 4 In my home",1,2,10,22,1,2,15,2,448.3421,0
"Arabic for babies toddlers and preschoolers Disc 2 Wake up smiling",1,2,10,21,1,2,15,3,492.7071,0
"German for babies toddlers and preschoolers Disc 5 Happy sad and silly",1,2,10,22,1,2,15,3,438.3421,0
"Arabic for babies toddlers and preschoolers Disc 1 Eating and drinking",1,2,10,22,1,2,15,3,492.7071,0
"Arabic for babies toddlers and preschoolers Disc 3 Playtime",1,2,10,21,1,2,15,3,492.7071,0
"Snowplows on patrol",1,2,12,27,1,3,15,20,625.763,1
"Critter quest bug out on a backyard safari",1,2,13,29,1,4,13,57,595.7,2
"Food chains",1,2,13,29,1,4,14,11,577.16,2
"Sid the science kid Going going green",1,3,19,32,1,4,17,19,791.4575,0
"Sid the science kid Gizmos and gadgets",1,4,15,15,1,4,17,20,621.8,0
"Sid the science kid Sid in motion",1,3,19,32,1,4,17,27,500,0
"Early start Mandarin Chinese Volume 3 A wonderful day",1,2,15,34,1,5,13,54,495.18342,2
"Activity TV Thanksgiving",1,2,15,34,1,5,13,54,745.59416,2
"Im a potty pirate potty training for boys",1,2,15,33,1,5,13,54,649.62,2
"Im a potty princess potty training for girls",1,2,15,33,1,5,13,54,649.62,2
"Land sea air adventures",1,3,15,26,1,5,14,34,623.8245,1
Dog,1,3,15,40,1,5,16,15,599.77,2
"Humanoid robots",1,2,16,6,1,5,17,48,629.892,3
Dog,1,4,17,36,1,6,14,42,599.77,1
"Spanish Disc 5 Happy sad and silly",1,5,15,1,1,7,10,13,468.3421,1
"Mandarin Chinese Disc 6 I can count",1,5,15,1,1,7,10,13,495.13421,1
Fish,1,4,14,32,1,7,10,49,597,2
"Kids love Spanish Volume 1 Basic words",1,2,12,10,1,7,12,12,468.3421,5
"Mom Dad me aprendemos EspaÂ¤ol",1,2,12,10,1,7,12,12,468.3421,5
"Signing time Series 2 volume 7 My favorite sport",1,4,11,8,1,7,12,16,419.7,3
"Mister Rogers neighborhood What do you do with the mad that you feel",1,5,14,12,1,7,13,55,152.47,1
"Mandarin Chinese Disc 4 In my home",1,5,11,18,1,7,13,57,495.13421,2
"I love airplanes",1,2,17,11,1,7,14,42,629.133,4
"Noahs ark",1,4,15,6,1,7,15,2,222.11095,2
"Jazz class for kids",1,5,15,9,1,7,18,39,793.3,2
"JammX kids Adventure one Cant dance dont want to",1,5,15,9,1,7,18,39,791.4572,2
"Nursery tap hip to toe Vol 1 Along came a spider",1,5,15,9,1,7,18,39,792.7,2
"Learn hip hop step by step",1,5,15,9,1,7,18,39,782.42164,2
"Tot tap a fun filled introduction to the world of tap dance for kids",1,3,17,48,1,7,19,47,792.78,4
"Families of Egypt",1,2,16,32,1,8,11,8,962.055,5
"Colonial America",1,2,16,32,1,8,11,8,973.2,5
"Eyewitness Volcano",1,3,19,18,1,8,11,24,551.21,4
"Wild about safety Timon and Pumbaa Safety smart online",1,3,12,56,1,8,12,26,004.67808,4
"Wiggles Lets eat",1,3,12,56,1,8,12,26,782.42083,4
"Doodlebops Live in concert",1,3,12,56,1,8,12,27,782.42083,4
"Mighty machines Machines on the job",1,4,11,37,1,8,12,52,621.8,4
"Eyewitness Weather",1,4,11,37,1,8,12,52,551.55,4
"Soundable words Long and short vowels",1,4,13,18,1,8,13,46,372.465,4
"Read along stories on DVD",1,4,13,18,1,8,13,46,372.4,4
"Schoolhouse rock Science",1,2,11,23,1,8,14,0,500,6
"world of learning Volume 2",1,7,14,4,1,8,15,10,629.13334,1
"Why Guy questions a firefighter",1,5,11,20,1,8,15,21,628.925,3
"Spend a day with police officers",1,5,11,18,1,8,15,21,363.2,3
"Fire trucks in action",1,5,11,18,1,8,15,21,628.9259,3
"Police station",1,5,11,18,1,8,15,21,363.20973,3
Deserts,1,2,12,45,1,8,15,29,577.54,6
"Fish shellfish other underwater life",1,2,12,45,1,8,15,29,597,6
"Lots lots of jets and planes Vol 1 Thunder in the skies",1,3,14,18,1,8,15,47,629.13334,5
"Animal atlas Fun on the farm",1,2,11,45,1,8,19,15,630.68,6
"Harriet Tubman",1,2,11,56,1,9,11,36,973.7115,6
"Harriet Tubman Rosa Parks",1,2,11,56,1,9,11,36,323.1196,6
"Kideosyncrasy getting the world in shape one kid at a time Volume 1",1,7,18,43,1,9,11,38,613.7042,1
"Toucanz Trail obstacle adventure Vol 1",1,7,18,43,1,9,11,38,613.7042,1
"Kideosyncrasy getting the world in shape one kid at a time Volume 2",1,7,18,43,1,9,11,38,613.7042,1
"smart fitness workout brain based physical fitness routines",1,7,18,43,1,9,11,38,613.7042,1
"Up down all around movement fun for everyone",1,7,18,43,1,9,11,38,613.7042,1
Spanish,1,5,12,5,1,9,12,13,468.30832,4
"Signing time Series 2 volume 1 Nice to meet you",1,5,17,47,1,9,13,23,419.7,3
"Signing time Series 2 volume 3 Move and groove",1,5,17,46,1,9,13,25,419.7,3
"Between the lions Pecos Bill cleans up the West",1,2,15,47,1,9,13,31,372.465,6
"Baby signing time Volume 1",1,2,17,3,1,9,13,45,419,6
"Families of Guatemala",1,5,11,53,1,9,15,19,972.81,4
"Linnea in Monets garden",1,9,14,17,1,9,15,28,759.4,0
"Spanish Disc 6 I can count",1,2,17,33,1,9,15,56,468.3421,6
"Spanish Disc 4 In my home",1,2,17,33,1,9,15,56,468.3421,6
"Lots lots of fire songs safety tips",1,2,17,30,1,9,15,57,363.377,6
"magic paintbrush a story from China",1,7,18,7,1,9,16,23,398.20951,1
"magic gourd",1,7,18,7,1,9,16,23,398.20951,1
"way things work Electricity",1,6,14,2,1,9,16,29,537,3
"Fairy dancing",1,3,13,52,1,9,16,47,791.4372,6
"French for kids Beginner level 1 volume 2",1,9,15,32,1,9,17,4,448.2421,0
"Russian for babies toddlers and preschoolers Disc 1 Eating and drinking",1,3,17,53,1,9,17,32,491.78346,5
"Lots lots of jets and planes Vol 1 Thunder in the skies",1,3,16,8,1,9,18,32,629.13334,6
"Barack Obama the story of our 44th president",1,3,14,5,1,9,19,9,973.93209,6
"Living room magic Volume 1",1,7,17,21,1,9,19,21,793.8,2
"Living room magic Volume 2",1,7,17,21,1,9,19,21,793.8,2
"Jim Hensons the storyteller Greek myths",1,7,18,5,1,9,19,27,398.2,2
"Grand Canyon for kids",1,7,17,21,1,9,19,34,917.9132,2
"Mighty machines Roadways to runways",1,5,16,25,1,9,19,37,629.133,4
"Signing time Series 2 volume 6 Days of the week",1,4,11,6,1,9,19,37,419.7,5
"Signing time Volume 6 My favorite things",1,4,11,6,1,9,19,38,419.7,5
"Lon Po Po a Red Riding Hood story from China",1,9,15,4,1,10,14,39,398.20951,0
Amphibian,1,3,13,9,1,10,14,57,597.8,7
"elephant DVD with Eric Herman",1,8,17,18,1,10,15,3,782.42083,1
"Seven magic brothers a Chinese folktake",1,9,15,4,1,10,15,25,398.20951,1
"Predator and prey",1,3,17,6,1,10,15,29,591.53,6
"Rockin dance party",1,3,15,40,1,10,17,27,649.68,7
"Im a potty princess potty training for girls",1,3,15,40,1,10,17,27,649.62,7
"Professor Parrot speaks Spanish We are friends Somos amigos",1,7,13,6,1,10,17,36,468.2421,3
"Activity TV Magic Vol 2",1,3,17,53,1,10,18,40,793.8,7
"Hot potatoes the best of the Wiggles",1,8,12,37,1,11,10,13,782.42083,2
"Wiggles Racing to the rainbow",1,8,12,38,1,11,10,13,782.42083,2
"Predator and prey",1,4,12,27,1,11,10,16,591.53,6
"Get fit America for kids",1,9,18,15,1,11,10,30,613.7042,1
